iter	Passed	Remaining
840	14961	2828
841	14967	2808
842	14979	2789
843	15017	2775
844	15041	2759
845	15073	2743
846	15140	2735
847	15150	2715
848	15157	2695
849	15164	2676
850	15170	2656
851	15201	2640
852	15210	2621
853	15216	2601
854	15222	2581
855	15246	2564
856	15256	2545
857	15264	2526
858	15269	2506
859	15275	2486
860	15284	2467
861	15290	2447
862	15296	2428
863	15303	2408
864	15340	2394
865	15350	2375
866	15356	2355
867	15361	2336
868	15366	2316
869	15395	2300
870	15409	2282
871	15430	2265
872	15436	2245
873	15442	2226
874	15447	2206
875	15453	2187
876	15459	2168
877	15466	2149
878	15481	2131
879	15491	2112
880	15499	2093
881	15506	2074
882	15511	2055
883	15517	2036
884	15525	2017
885	15530	1998
886	15536	1979
887	15543	1960
888	15551	1941
889	15556	1922
890	15562	1903
891	15568	1884
892	15576	1866
893	15583	1847
894	15588	1828
895	15594	1810
896	15599	1791
897	15607	1772
898	15614	1754
899	15619	1735
900	15625	1716
901	15632	1698
902	15695	1686
903	15719	1669
904	15726	1650
905	15733	1632
906	15741	1614
907	15761	1596
908	15768	1578
909	15780	1560
910	15801	1543
911	15815	1526
912	15823	1507
913	15831	1489
914	15879	1475
915	15885	1456
916	15892	1438
917	15899	1420
918	15906	1402
919	15947	1386
920	15963	1369
921	15973	1351
922	15980	1333
923	16011	1316
924	16018	1298
925	16025	1280
926	16032	1262
927	16073	1247
928	16093	1230
929	16103	1212
930	16111	1194
931	16132	1177
932	16140	1159
933	16147	1141
934	16166	1123
935	16245	1110
936	16251	1092
937	16256	1074
938	16262	1056
939	16268	1038
940	16274	1020
941	16321	1004
942	16330	987
943	16336	969
944	16345	951
945	16410	936
946	16421	919
947	16430	901
948	16466	884
949	16541	870
950	16555	853
951	16561	835
952	16566	817
953	16571	799
954	16614	782
955	16636	765
956	16641	747
957	16647	729
958	16652	711
959	16657	694
960	16671	676
961	16678	658
962	16683	641
963	16689	623
964	16695	605
965	16734	588
966	16740	571
967	16748	553
968	16753	535
969	16758	518
970	16763	500
971	16783	483
972	16789	465
973	16795	448
974	16801	430
975	16807	413
976	16820	395
977	16827	378
978	16836	361
979	16846	343
980	16867	326
981	16876	309
982	16882	291
983	16887	274
984	16896	257
985	16902	239
986	16909	222
987	16914	205
988	16920	188
989	16925	170
990	16930	153
991	16937	136
992	16943	119
993	16949	102
994	16955	85
995	16972	68
996	16978	51
997	16985	34
998	16991	17
999	16998	0
